authorDisplayName,videoId,textDisplay,likeCount,publishedAt,totalReplyCount
@DaLABOfficial,Z1D26z9l8y8,"Long:
Thức giấc mỗi ngày là khi màn đêm vừa kéo về
Tiếng chuông ngân dài, nhưng vẫn không thấy một ai
Bờ vai như rã rời, con tim em muốn dừng lại thôi
Kết thúc câu chuyện cũng là lúc không ai bước tiếp
 
Lam:
Em giờ đã có bầu trời mới, mọi chuyện sẽ qua thôi
Anh thì tìm kiếm tình yêu dù đánh mất lâu rồi
Chạy thật nhanh, đi thật xa để cố quên những gì xảy ra
Nhưng trước mắt anh vẫn toàn thấy ký ức về em
Em giờ đã có bầu trời mới, thế giới cũng đổi thay
Giữa muôn vàn vì sao chiếu sáng nơi đây chỉ có mỗi anh lạc lõng
Đoạn đường mới đừng tìm lại giấc mơ em đã cất sâu
Có khi ngày mai ta sẽ vô tình gặp nhau, đứng thật lâu
 
Thỏ:
Cứ mỗi sớm ban mai là giấc mơ xưa lại đến
Vẫn cứ ngỡ bên tai là những thanh âm ngọt ngào
Gió cuốn những đám mây về một nơi xa
Một bầu trời đầy rạng ngời nhưng thiếu vắng đôi ta
Con đường kia chỉ một mình anh thôi
Em giờ đang bước nơi xa cùng người
Những nụ cười đó từng được dành cho anh
Chỉ còn nhạt nhoà trong những cơn mơ
 
Lam:
Em giờ đã có bầu trời mới, mọi chuyện sẽ qua thôi
Anh thì tìm kiếm tình yêu dù đánh mất lâu rồi
Chạy thật nhanh, đi thật xa để cố quên những gì xảy ra
Nhưng trước mắt anh vẫn toàn thấy ký ức về em
Em giờ đã có bầu trời mới, thế giới cũng đổi thay
Giữa muôn vàn vì sao chiếu sáng nơi đây chỉ có mỗi anh lạc lõng
Đoạn đường mới đừng tìm lại giấc mơ em đã cất sâu
Có khi ngày mai ta sẽ vô tình gặp nhau, đứng thật lâu
 
Cào:
Ai đưa tay như đang níu lấy hoa phai đang rơi
Chuyện tình buồn quên rồi trong sương đêm sang mai, ai mang phơi
Sao vang nghe bên tai âm thanh như ai đang kêu tên ai
Ngỡ như anh vẫn còn cảm thấy hơi thở của em sau vai
Em ngọt ngào nhưng lại làm anh mất ngủ như một ly nâu
Lồng ngực cháy bỏng vì em mỗi khi anh lại hít một hơi sâu
Bản nhạc ngày đó ta nghe Thanh Bùi hát mãi Tình Về Nơi Đâu 2014 nhìn vào mắt em anh nghĩ mình sẽ trọn đời bên nhau
Người mơ sông núi người mơ bầu trời chỉ có mình anh là muốn cạnh em trọn đời anh đã không biết mà cứ bước tiếp đến khi anh thấy bàn chân rệu rời là lúc anh biết nhịp đập của con tim anh đang sai
Anh biết đến lúc dừng lại mong em hạnh phúc khi đi bên ai
Hoà mình vào dòng người để không ai thấy được mình cô đơn
Đôi lúc anh nở nụ cười lại thấy sâu thẳm trong mình đau hơn
Anh đưa mắt lên tự hỏi đâu đó bên dưới bầu trời xanh dương em đã tìm thấy cho mình những điều em mong hay vẫn chưa bước qua tháng ngày mưa tuôn
 
Thơm:
Vậy khung trời anh liệu có thể
Quay trở lại như xưa
Mình anh ở trong một thế giới
Chẳng thể như lúc đầu
Nơi mặt trời cứ mãi bâng khuâng giữa đêm với ngày
Nơi nụ hoa, nhành cỏ xanh cánh bướm cứ phân vân
 
Lam:
Em giờ đã có bầu trời mới, thế giới cũng đổi thay
Giữa muôn vàn vì sao chiếu sáng nơi đây chỉ có mỗi anh lạc lõng
Đoạn đường mới đừng tìm lại giấc mơ em đã cất sâu
Có khi ngày mai ta sẽ vô tình gặp nhau, cúi chào nhau",2448,2024-10-08T02:02:35Z,29
@linhle-in9sr,Z1D26z9l8y8,"tôi đã khóc vì tôi và e cx nhẹ nhàng dừng lại như v kết thúc câu chuyện trong nụ cười vừa là vui vừa là buồn nhưng ko nợ nhau gì, buông trong yên bình",0,2025-07-13T04:55:02Z,0
@huongly_vsbet,Z1D26z9l8y8,Cách bạn sử dụng giai điệu khiến bài hát trở nên độc đáo.,0,2025-07-13T03:03:24Z,0
@evilizing,Z1D26z9l8y8,giọng anh Thơm hay vl,0,2025-07-12T08:06:52Z,0
@quocdungtran3528,Z1D26z9l8y8,"Đầu tháng 7 này là tròn 1 năm mình cùng cô ấy đi du lịch lần đầu tiên cùng nhau, cả hai đều đã có những khoảng thời gian khó quên. Mình chia tay cô ấy với bao điều tiếc nuối, nghe bài hát này giúp trái tim mình đập nhanh lên một lúc vì nó làm mình nhớ lại tất cả những kỉ niệm mà 2 đứa mình từng có. Cảm ơn và hẹn gặp lại em vào một ngày không xa.",1,2025-07-12T03:19:22Z,0
@yento_vsbet,Z1D26z9l8y8,Nghe nhạc này như được tiếp thêm năng lượng cho cả ngày dài.,0,2025-07-12T03:06:11Z,0
@lowid6891,Z1D26z9l8y8,Tôi nhớ bạn,0,2025-07-11T16:10:30Z,0
@TuanNguyenAnh-cf2kz,Z1D26z9l8y8,Bài hát ra đúng lúc m ctay được 2 tuần nghe mà thấm từng câu chữ và bây giờ nghe lại vẫn đọng lại. Bảo không nhớ thì khong đúng nhưng thời gian sẽ xoa dịu nó thôi <3<3 !!,0,2025-07-11T09:43:56Z,0
@oanson1333,Z1D26z9l8y8,Lương Long đẹp zai vãiii,0,2025-07-11T03:12:02Z,0
@dungbui1607,Z1D26z9l8y8,Tưởng văn toàn,0,2025-07-10T20:19:55Z,0
@duhocsinhChuaLang,Z1D26z9l8y8,Chú Thỏ đi ngủ chưa ạ?,0,2025-07-10T17:03:56Z,0
@duhocsinhChuaLang,Z1D26z9l8y8,thức giấc mỗi ngày,0,2025-07-10T17:03:47Z,0
@Junwoo_vsbet,Z1D26z9l8y8,Bài này giống như một khoảng trời riêng dành cho những tâm hồn nhạy cảm.,0,2025-07-10T06:31:57Z,0
